| Mnemonic           | Extension            | Description          | Example
| ------------------ | -------------------- | -------------------- | -------
| `add`              | `I`
| `fmax.d`           | `D`
| `fmax.q`           | `Q`
| `fmax.s`           | `F`
| `fmin.d`           | `D`
| `fmin.q`           | `Q`
| `fmin.s`           | `F`
| `fmsub.d`          | `D`
| `fmsub.q`          | `Q`
| `fmsub.s`          | `F`
| `fmul.d`           | `D`
| `fmul.q`           | `Q`
| `fmul.s`           | `F`
| `fmv.d`            | `pseudo-instruction`
| `fmv.d.x`          | `D`
| `fmv.s`            | `pseudo-instruction`
| `fmv.w.x`          | `F`
| `fmv.x.d`          | `D`
| `fmv.x.w`          | `F`
| `fneg.d`           | `pseudo-instruction`
| `fneg.s`           | `pseudo-instruction`
| `fnmadd.d`         | `D`
| `fnmadd.q`         | `Q`
| `fnmadd.s`         | `F`
| `fnmsub.d`         | `D`
| `fnmsub.q`         | `Q`
| `fnmsub.s`         | `F`
| `frcsr`            | `pseudo-instruction`
| `frflags`          | `psuedo-instruction`
| `frrm`             | `pseudo-instruction`
| `fscsr`            | `pseudo-instruction`
| `fscsr`            | `pseudo-instruction`
| `fsd`              | `D`
| `fsflags`          | `pseudo-instruction`
| `fsflags`          | `pseudo-instruction`
| `fsgnj.d`          | `D`
| `fsgnj.q`          | `Q`
| `fsgnj.s`          | `F`
| `fsgnjn.d`         | `D`
| `fsgnjn.q`         | `Q`
| `fsgnjn.s`         | `F`
| `fsgnjx.d`         | `D`
| `fsgnjx.q`         | `Q`
| `fsgnjx.s`         | `F`
| `fsq`              | `Q`
| `fsqrt.d`          | `D`
| `fsqrt.q`          | `Q`
| `fsqrt.s`          | `F`
| `fsrm`             | `pseudo-instruction`
| `fsrm`             | `pseudo-instruction`
| `fsub.d`           | `D`
| `fsub.q`           | `Q`
| `fsub.s`           | `F`
| `fsw`              | `F`
| `hfence.gvma`      | `privileged`
| `hfence.vvma`      | `privileged`
| `hinval.gvma`      | `privileged`
| `hinval.vvma`      | `privileged`
| `hlv.b`            | `privileged`
| `hlv.bu`           | `privileged`
| `hlv.d`            | `privileged`
| `hlv.h`            | `privileged`
| `hlv.hu`           | `privileged`
| `hlv.w`            | `privileged`
| `hlv.wu`           | `privileged`
| `hlvx.hu`          | `privileged`
| `hlvx.wu`          | `privileged`
| `hsv.b`            | `privileged`
| `hsv.d`            | `privileged`
| `hsv.h`            | `privileged`
| `hsv.w`            | `privileged`
| `j`                | `pseudo-instruction`
| `jal`              | `I`
| `jal`              | `pseudo-instruction`
| `jalr`             | `I`
| `jalr`             | `pseudo-instruction`
| `jr`               | `pseudo-instruction`
| `la (non-pic)`     | `pseudo-instruction`
| `la (pic)`         | `pseudo-instruction`
| `lb`               | `I`
| `lb`               | `pseudo-instruction`
| `lbu`              | `I`
| `lbu`              | `pseudo-instruction`
| `ld`               | `I`
| `ld`               | `pseudo-instruction`
| `lh`               | `I`
| `lh`               | `pseudo-instruction`
| `lhu`              | `I`
| `lhu`              | `pseudo-instruction`
| `li`               | `pseudo-instruction`
| `lla`              | `pseudo-instruction`
| `lr.d`             | `A`
| `lr.w`             | `A`
| `lui`              | `I`
| `lw`               | `I`
| `lw`               | `pseudo-instruction`
| `lwu`              | `I`
| `lwu`              | `pseudo-instruction`
| `mret`             | `privileged`
| `mul`              | `M`
| `mulh`             | `M`
| `mulhsu`           | `M`
| `mulhu`            | `M`
| `mulw`             | `M`
| `mv`               | `pseudo-instruction`
| `neg`              | `pseudo-instruction`
| `negw`             | `pseudo-instruction`
| `nop`              | `pseudo-instruction`
| `not`              | `pseudo-instruction`
| `or`               | `I`
| `ori`              | `I`
| `rdcycle`          | `pseudo-instruction`
| `rdcycleh`         | `pseudo-instruction`
| `rdinstret`        | `pseudo-instruction`
| `rdinstreth`       | `pseudo-instruction`
| `rdtime`           | `pseudo-instruction`
| `rdtimeh`          | `pseudo-instruction`
| `rem`              | `I`
| `remu`             | `I`
| `remuw`            | `I`
| `remw`             | `I`
| `ret`              | `pseudo-instruction`
| `sb`               | `I`
| `sb`               | `pseudo-instruction`
| `sc.d`             | `A`
| `sc.w`             | `A`
| `sd`               | `I`
| `sd`               | `pseudo-instruction`
| `seqz`             | `pseudo-instruction`
| `sext.w`           | `pseudo-instruction`
| `sfence.inval.ir`  | `privileged`
| `sfence.vma`       | `privileged`
| `sfence.w.inval`   | `privileged`
| `sgtz`             | `pseudo-instruction`
| `sh`               | `I`
| `sh`               | `pseudo-instruction`
| `sinval.vma`       | `privileged`
| `sll`              | `I`
| `slli`             | `I`
| `slliw`            | `I`
| `sllw`             | `I`
| `slt`              | `I`
| `slti`             | `I`
| `sltiu`            | `I`
| `sltu`             | `I`
| `sltz`             | `pseudo-instruction`
| `snez`             | `pseudo-instruction`
| `sra`              | `I`
| `srai`             | `I`
| `sraiw`            | `I`
| `sraw`             | `I`
| `sret`             | `priviliged`
| `srl`              | `I`
| `srli`             | `I`
| `srli`             | `I`
| `srliw`            | `I`
| `srlw`             | `I`
| `sub`              | `I`
| `subw`             | `I`
| `sw`               | `I`
| `sw`               | `pseudo-instruction`
| `tail`             | `pseudo-instruction`
| `wfi`              | `privileged`
| `xor`              | `I`
| `xori`             | `I`
